port,,Permanent Portfolio,Permanent Portfolio,Permanent Portfolio,Permanent Portfolio,Three Fund Portfolio,Three Fund Portfolio,Three Fund Portfolio,Pinwheel Portfolio,Pinwheel Portfolio,Pinwheel Portfolio,Pinwheel Portfolio,Pinwheel Portfolio,Pinwheel Portfolio,Pinwheel Portfolio,Pinwheel Portfolio,All Seasons Portfolio,All Seasons Portfolio,All Seasons Portfolio,All Seasons Portfolio,All Seasons Portfolio,Golden Butterfly,Golden Butterfly,Golden Butterfly,Golden Butterfly,Golden Butterfly,Coffeehouse Portfolio,Coffeehouse Portfolio,Coffeehouse Portfolio,Coffeehouse Portfolio,Coffeehouse Portfolio,Coffeehouse Portfolio,Coffeehouse Portfolio,Swensen Portfolio,Swensen Portfolio,Swensen Portfolio,Swensen Portfolio,Swensen Portfolio,Swensen Portfolio,7Twelve Portfolio,7Twelve Portfolio,7Twelve Portfolio,7Twelve Portfolio,7Twelve Portfolio,7Twelve Portfolio,7Twelve Portfolio,7Twelve Portfolio,7Twelve Portfolio,7Twelve Portfolio,7Twelve Portfolio,60/40 Portfolio,60/40 Portfolio,Ivy Portfolio,Ivy Portfolio,Ivy Portfolio,Ivy Portfolio,Ivy Portfolio
etfs,,VTI,TLT,BIL,GLD,VTI,VEA,AGG,VTI,IJS,VEA,VWO,IEI,BIL,IYR,GLD,VTI,TLT,IEI,DBC,GLD,VTI,IJS,TLT,SHY,GLD,SPY,SPYV,MDY,IJJ,VEA,IEI,IYR,VTI,VEA,VWO,IEI,TIP,IYR,SPY,MDY,IJR,VEA,VWO,IEI,BIL,TIP,DBC,IYR,BWX,VTI,AGG,VTI,VEA,IEI,DBC,IYR
date,risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-31,cons,0.004682,0.001561,0.993757,0.0,0.043146,0.0,0.956854,0.005997,0.0,0.0,0.0,0.001133,0.99287,0.0,0.0,0.09885,0.0,0.880773,0.020378,0.0,0.035176,0.0,0.0,0.964824,0.0,0.080838,0.0,0.03169,0.0,0.0,0.887472,0.0,0.116292,0.0,0.0,0.883708,0.0,0.0,0.006825,0.0,0.0,0.0,0.0,0.004605,0.988571,0.0,0.0,0.0,0.0,0.055276,0.944724,0.098962,0.0,0.880438,0.0206,0.0
2016-03-31,mod_cons,0.182424,0.095918,0.657788,0.06387,0.288493,0.0,0.711507,0.144273,0.0,0.0,0.0,0.657824,0.194196,0.0,0.003707,0.271012,0.0,0.663449,0.0,0.065539,0.216878,0.0,0.064126,0.653098,0.065897,0.069487,0.0,0.0,0.0,0.0,0.67312,0.257393,0.374359,0.0,0.0,0.583489,0.0,0.042152,0.139327,0.0,0.0,0.0,0.0,0.771882,0.078649,0.0,0.0,0.010142,0.0,0.291457,0.708543,0.36797,0.0,0.593148,0.0,0.038881
2016-03-31,moder,0.353749,0.18587,0.329786,0.130595,0.525662,0.0,0.474338,0.357541,0.0,0.0,0.0,0.468449,0.0,0.030852,0.143158,0.42352,0.011653,0.40083,0.0,0.163997,0.391517,0.0,0.149307,0.321321,0.137855,0.0,0.0,0.0,0.0,0.0,0.473701,0.526299,0.559667,0.0,0.0,0.303362,0.0,0.136971,0.035398,0.0,0.0,0.0,0.0,0.612533,0.0,0.0,0.0,0.352069,0.0,0.527638,0.472362,0.553473,0.0,0.312968,0.0,0.133559
2016-03-31,mod_agg,0.52889,0.27106,0.0,0.20005,0.762831,0.0,0.237169,0.536886,0.0,0.0,0.0,0.023104,0.0,0.119024,0.320987,0.584235,0.075783,0.082851,0.0,0.257131,0.566318,0.0,0.222501,0.0,0.21118,0.0,0.0,0.0,0.0,0.0,0.23685,0.76315,0.745143,0.0,0.0,0.023189,0.0,0.231668,0.0,0.0,0.0,0.0,0.0,0.3158,0.0,0.0,0.0,0.6842,0.0,0.763819,0.236181,0.745293,0.0,0.023148,0.0,0.231559
2016-03-31,agg,0.647729,0.056567,0.0,0.295705,0.910039,0.0,0.089961,0.10629,0.0,0.0,0.0,0.0,0.0,0.678217,0.215493,0.672275,0.00829,0.0,0.0,0.319435,0.67487,0.0,0.044152,0.0,0.280978,0.0,0.0,0.0,0.0,0.0,0.09474,0.90526,0.314493,0.0,0.0,0.0,0.0,0.685507,0.0,0.0,0.0,0.0,0.0,0.12632,0.0,0.0,0.0,0.87368,0.0,0.909548,0.090452,0.314493,0.0,0.0,0.0,0.685507
2016-04-30,cons,0.007621,0.003332,0.989048,0.0,0.040201,0.0,0.959799,0.005938,0.0,0.0,0.0,0.0,0.994062,0.0,0.0,0.095859,0.0,0.882293,0.021848,0.0,0.035669,0.0,0.0,0.964331,0.0,0.07681,0.0,0.031989,0.0,0.0,0.8912,0.0,0.10908,0.0,0.0,0.89092,0.0,0.0,0.003249,0.0,0.003405,0.0,0.0,0.006507,0.98684,0.0,0.0,0.0,0.0,0.055276,0.944724,0.090021,0.0,0.884319,0.02566,0.0
2016-04-30,mod_cons,0.159324,0.065486,0.62342,0.151771,0.281407,0.0,0.718593,0.0,0.12733,0.0,0.0,0.462311,0.328785,0.0,0.081574,0.220749,0.0,0.613715,0.0,0.165537,0.0,0.14874,0.03381,0.693233,0.124217,0.0,0.284734,0.0,0.0,0.0,0.616091,0.099175,0.22925,0.0,0.0,0.605694,0.0,0.165056,0.0,0.0,0.184634,0.0,0.0,0.716901,0.098465,0.0,0.0,0.0,0.0,0.291457,0.708543,0.225617,0.0,0.62477,0.0,0.149614
2016-04-30,moder,0.305838,0.124635,0.267492,0.302035,0.522613,0.0,0.477387,0.0,0.244444,0.0,0.0,0.547295,0.0,0.0,0.208261,0.320143,0.021563,0.312246,0.0,0.346047,0.0,0.271195,0.093808,0.383098,0.251899,0.0,0.427728,0.0,0.0,0.0,0.330957,0.241315,0.275006,0.0,0.0,0.345771,0.011999,0.367225,0.0,0.0,0.451788,0.0,0.0,0.548212,0.0,0.0,0.0,0.0,0.0,0.527638,0.472362,0.274264,0.0,0.364138,0.0,0.361598
2016-04-30,mod_agg,0.417136,0.092296,0.0,0.490568,0.763819,0.0,0.236181,0.0,0.358674,0.0,0.0,0.260091,0.0,0.0,0.381235,0.417938,0.047778,0.0,0.0,0.534284,0.0,0.393703,0.153832,0.072935,0.379529,0.0,0.573747,0.0,0.0,0.0,0.039762,0.386491,0.318388,0.0,0.0,0.03318,0.077678,0.570755,0.0,0.0,0.729755,0.0,0.0,0.270245,0.0,0.0,0.0,0.0,0.0,0.763819,0.236181,0.322887,0.0,0.103516,0.0,0.573597
2016-04-30,agg,0.239791,0.0,0.0,0.760209,0.904523,0.0,0.095477,0.0,0.427676,0.0,0.0,0.086572,0.0,0.0,0.485752,0.199637,0.0,0.0,0.0,0.800363,0.0,0.449069,0.074127,0.0,0.476804,0.0,0.278893,0.0,0.0,0.0,0.0,0.721107,0.219815,0.0,0.0,0.0,0.0,0.780185,0.0,0.0,0.891902,0.0,0.0,0.108098,0.0,0.0,0.0,0.0,0.0,0.909548,0.090452,0.228184,0.0,0.0,0.0,0.771816
